item_id,shop_id,drink_name,drink_category,flavor,available_hot,available_iced,size,min_price,max_price,milk_options,matcha_grade_claim,menu_source,menu_url,date_collected
ITM033,SEA004,Matcha Latte,Matcha Latte,Original,TRUE,TRUE,12oz;16oz,$7.00,$8.00,Whole; Oat; Almond; Coconut; Soy,Ceremonial,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM034,SEA004,Sakura Matcha Latte,Matcha Latte,Sakura,TRUE,TRUE,12oz;16oz,$7.25,$8.25,Whole; Oat; Almond; Coconut; Soy,Ceremonial,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM035,SEA004,Lavender Matcha Latte,Matcha Latte,Lavender,TRUE,TRUE,12oz;16oz,$7.25,$8.25,Whole; Oat; Almond; Coconut; Soy,Ceremonial,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM036,SEA004,Rose Matcha Latte,Matcha Latte,Rose,TRUE,TRUE,12oz;16oz,$7.25,$8.25,Whole; Oat; Almond; Coconut; Soy,Ceremonial,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM037,SEA004,Chai Matcha Latte,Matcha Latte,Chai,TRUE,TRUE,12oz;16oz,$6.75,$7.75,Whole; Oat; Almond; Coconut; Soy,Ceremonial,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM038,SEA004,Vanilla Matcha Latte,Matcha Latte,Vanilla,TRUE,TRUE,12oz;16oz,$7.25,$8.25,Whole; Oat; Almond; Coconut; Soy,Ceremonial,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM039,SEA004,Strawberry Matcha Latte,Matcha Latte,Strawberry,FALSE,TRUE,12oz;16oz,$7.50,$8.50,Whole; Oat; Almond; Coconut; Soy,Ceremonial,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM040,SEA004,Double Strawberry Matcha Latte,Matcha Latte,Strawberry,FALSE,TRUE,16oz,$9.00,$9.00,Whole; Oat; Almond; Coconut; Soy,Ceremonial,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM041,SEA004,Strawberry Cream Top Matcha Latte,Matcha Latte,Strawberry,FALSE,TRUE,16oz,$8.50,$8.50,Whole; Oat; Almond; Coconut; Soy,Ceremonial,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
ITM042,SEA004,Salted Cream Top Matcha Latte,Matcha Latte,Original,FALSE,TRUE,16oz,$8.00,$8.00,Whole; Oat; Almond; Coconut; Soy,Ceremonial,Order App,https://order.toasttab.com/online/matcha-man-ice-cream-taiyaki-6014-12th-ave-s?fbclid=PAQ0xDSwN3cJ5leHRuA2FlbQIxMQABpwXOa_FdXAfQuPvL9ZjM5MweP_pljonaKOdmgfYE6zo9K3ZLXCQo9RpRe-Uz_aem_qZd2vFl068gQWriyImxcRw,2026-08-28
