place_id,shop_name,formatted_address,city_scope_check,primary_type,google_types,google_rating,google_review_count,website_url,google_maps_url,query_match_count,discovery_queries,verification_status,qualification_basis,rejection_reason,date_collected_utc
ChIJOTVu5NFrkFQRvAtWzY-Iwtw,Atulea,"1715 12th Ave #100, Seattle, WA 98122",True,cafe,cafe; tea_house; coffee_shop; food_store; food; store; point_of_interest; establishment,4.5,398.0,http://shopatulea.com/,https://maps.google.com/?cid=15907426985032682428&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJ9Yke7MJrkFQR7CJNNPFpfL4,Coche Valley Dessert Cafe,"1424 E Pine St, Seattle, WA 98122",True,dessert_shop,dessert_shop; brunch_restaurant; coffee_shop; cafe; confectionery; food_store; store; restaurant; food; point_of_interest; establishment,4.5,328.0,https://cochevalleydessertcafecap.square.site/,https://maps.google.com/?cid=13725962249003934444&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"matcha cafe in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:19+00:00
ChIJ83tHO_pVkFQRp5biyGbC0bo,Jin Jin Matcha,"1019 Pacific Ave, Tacoma, WA 98402",False,tea_house,tea_house; point_of_interest; establishment,4.7,306.0,http://www.jinjinmatcha.com/,https://maps.google.com/?cid=13461754507899868839&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"Japanese tea cafe in Seattle, WA",Needs menu verification,,,2026-08-29T04:16:23+00:00
ChIJ3d-iqVxrkFQRKNl7TtHwYK8,Yuu Tea Cafe,"4400 Rainier Ave S, Seattle, WA 98118",True,cafe,cafe; coffee_shop; pastry_shop; dessert_shop; bagel_shop; tea_house; confectionery; bakery; food_store; store; food; point_of_interest; establishment,4.8,275.0,https://yuuteacafe.net/,https://maps.google.com/?cid=12637365336157182248&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"Japanese tea cafe in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:23+00:00
ChIJvful7UFrkFQR0OhobFnU_fs,Aroom Coffee Waterfront,"904 Alaskan Wy, Seattle, WA 98104",True,coffee_shop,coffee_shop; cafe; food_store; food; store; point_of_interest; establishment,4.7,257.0,https://aroomers.com/,https://maps.google.com/?cid=18157902753163700432&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJ3dzzqxdrkFQR1xVyFgc9Vsg,KOTO JELLY COFFEE,"512 Broadway, Seattle, WA 98122",True,dessert_shop,dessert_shop; confectionery; food_store; store; food; point_of_interest; establishment,4.6,215.0,https://kotocoffee.com/,https://maps.google.com/?cid=14435792756233344471&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"Japanese tea cafe in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:23+00:00
ChIJJ7opW15rkFQRpE4PHo9qP7A,CU URBAN MARKET & CAFE,"1117 1st Ave, Seattle, WA 98101",True,cafe,cafe; food; point_of_interest; establishment,4.8,207.0,http://cumnc.com/,https://maps.google.com/?cid=12699986637125275300&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"matcha latte in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:28+00:00
ChIJAb0KE0RrkFQRuI4X0By5Mcw,Howdy Y'all Coffee (Central Library),"JM48+MX, Public Library - Central Library, 1000 4th Ave Fl 3, Seattle, WA 98104",True,coffee_shop,coffee_shop; cafe; food_store; store; food; point_of_interest; establishment,4.9,118.0,https://howdyyallcoffee.com/,https://maps.google.com/?cid=14713744990997548728&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"matcha cafe in Seattle, WA",Qualified,Matcha item verified on menu,,2026-08-29T04:16:19+00:00
ChIJN4c5U7ZrkFQR3DAWF5IiimM,Public House,"210 Occidental Ave S, Seattle, WA 98104",True,restaurant,restaurant; coffee_shop; cafe; bar; food_store; food; store; point_of_interest; establishment,4.8,93.0,https://www.publichouseseattle.com/,https://maps.google.com/?cid=7172583367388836060&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"matcha latte in Seattle, WA",Rejected,,Does not meet project inclusion criteria after manual review,2026-08-29T04:16:28+00:00
ChIJC6HnRYEWkFQRXWhtKbh7wsc,Zen Dog Studio & Tea House Gallery,"2015 NW 85th St, Seattle, WA 98117",True,tea_house,tea_house; point_of_interest; establishment,4.8,37.0,http://www.teahousegallery.com/,https://maps.google.com/?cid=14394203389928761437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"Japanese tea cafe in Seattle, WA",Rejected,,Does not meet project inclusion criteria after manual review,2026-08-29T04:16:23+00:00
ChIJrS2x2xYVkFQRF9Z-_VpBavU,Tokara,"6208 Phinney Ave N, Seattle, WA 98103",True,confectionery,confectionery; food_store; store; food; point_of_interest; establishment,4.7,36.0,http://tokaragashi.com/,https://maps.google.com/?cid=17684018745879483927&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"Japanese tea cafe in Seattle, WA",Rejected,,Does not meet project inclusion criteria after manual review,2026-08-29T04:16:23+00:00
ChIJs5fADABnkFQRpgzfnpGqrzo,The Specialty Matcha by Sing Tong,"4605 NE 4th St #1-2, Renton, WA 98059",False,cafe,cafe; food; point_of_interest; establishment,4.7,32.0,https://order.online/store/the-specialty-matcha-by-sing-tong-renton-33738427/?fbclid=PAZXh0bgNhZW0CMTEAAafc2A1NwMxEpQdBTRWVF3Aa7_mzRNyi243BK63rZqOKeOn8H1W9L8DNLUVPBQ_aem_e30-S7FxZvq9UpQHNuTrdw,https://maps.google.com/?cid=4228786117536582822&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"matcha cafe in Seattle, WA",Needs menu verification,,,2026-08-29T04:16:19+00:00
ChIJJwvTAIIUkFQRrT4UZoNIcqA,East-West Chanoyu Center,"1414 S Weller St, Seattle, WA 98144",True,,point_of_interest; establishment,,,https://east-westchanoyucenter.org/,https://maps.google.com/?cid=11561382922604002989&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,1,"Japanese tea cafe in Seattle, WA",Rejected,,Does not meet project inclusion criteria after manual review,2026-08-29T04:16:23+00:00
